Director,Genre,Released Year,Runtime(mins),Series Title,Stars,Gross Income($),IMDB Rating,Meta score
Paul Verhoeven,"Drama, Thriller, War",2006,145,Zwartboek,"Carice van Houten,Sebastian Koch,Thom Hoffman,Halina Reijn",4398392,7.7,71
Mamoru Hosoda,"Animation, Adventure, Comedy",2006,98,Toki o kakeru shôjo,"Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi",,7.7,
Shane Meadows,"Crime, Drama",2006,101,This Is England,"Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim",327919,7.7,86
Gabriele Muccino,"Biography, Drama",2006,117,The Pursuit of Happyness,"Will Smith,Thandie Newton,Jaden Smith,Brian Howe",163566459,8,64
Christopher Nolan,"Drama, Mystery, Sci-Fi",2006,130,The Prestige,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine",53089891,8.5,66
Florian Henckel von Donnersmarck,"Drama, Mystery, Thriller",2006,137,The Lives of Others,"Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur",11286112,8.4,89
Kevin Macdonald,"Biography, Drama, History",2006,123,The Last King of Scotland,"James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington",17605861,7.7,74
Neil Burger,"Drama, Fantasy, Mystery",2006,110,The Illusionist,"Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell",39868642,7.6,68
Tarsem Singh,"Adventure, Drama, Fantasy",2006,117,The Fall,"Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek",2280348,7.9,64
Martin Scorsese,"Crime, Drama, Thriller",2006,151,The Departed,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg",132384315,8.5,85
Rakeysh Omprakash Mehra,"Comedy, Crime, Drama",2006,167,Rang De Basanti,"Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi",2197331,8.2,
Satoshi Kon,"Animation, Drama, Fantasy",2006,90,Papurika,"Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya",881302,7.7,81
Guillermo del Toro,"Drama, Fantasy, War",2006,118,Pan's Labyrinth,"Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú",37634615,8.2,98
Paul McGuigan,"Action, Crime, Drama",2006,110,Lucky Number Slevin,"Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu",22494487,7.7,53
Jonathan Dayton,"Comedy, Drama",2006,101,Little Miss Sunshine,"Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear",59891098,7.8,80
Clint Eastwood,"Action, Adventure, Drama",2006,141,Letters from Iwo Jima,"Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase",13756082,7.9,89
Rajkumar Hirani,"Comedy, Drama, Romance",2006,144,Lage Raho Munna Bhai,"Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani",2217561,8.1,
Spike Lee,"Crime, Drama, Mystery",2006,129,Inside Man,"Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer",88513495,7.6,76
Ronny Yu,"Action, Biography, Drama",2006,104,Huo Yuan Jia,"Jet Li,Li Sun,Yong Dong,Yun Qu",24633730,7.6,70
Susanne Bier,Drama,2006,120,Efter brylluppet,"Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani",412544,7.7,78
Shûsuke Kaneko,"Crime, Drama, Fantasy",2006,126,Death Note: Desu nôto,"Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Yû Kashii",,7.7,
Alfonso Cuarón,"Adventure, Drama, Sci-Fi",2006,109,Children of Men,"Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine",35552383,7.9,84
Martin Campbell,"Action, Adventure, Thriller",2006,144,Casino Royale,"Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright",167445960,8,80
Edward Zwick,"Adventure, Drama, Thriller",2006,143,Blood Diamond,"Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers",57366262,8,64
Mel Gibson,"Action, Adventure, Drama",2006,139,Apocalypto,"Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood",50866635,7.8,68
Zack Snyder,"Action, Drama",2006,117,300,"Gerard Butler,Lena Headey,David Wenham,Dominic West",210614939,7.6,52
